Student ID,Name,Registered Exams
1,Gregory Hanson,Java Programming;Programming Paradigms;OS;Data Visualization
2,Scott Wolf,Discrete Maths;IOT;DSA;Microprocessors;DBMS;Java Programming
3,Rhonda Lambert,Blockchain Technologies;Compiler Design;Discrete Maths;Advanced C;OS
4,Shannon Tyler,Java Programming;Computer Networks;OS;Cloud Computing
5,James Jones,Fundamentals EEE;DSA;Java Programming
6,Kara Hubbard,DBMS;Microprocessors
7,Dennis Torres,Computer Networks;Java Programming;Fundamentals EEE;Microprocessors;Data Visualization;IOT
8,Jacqueline Brown,Java Programming;Programming Paradigms;Discrete Maths;Data Visualization
9,Stephen Sanchez,Computer Networks;Advanced C;Compiler Design;Discrete Maths;Cloud Computing;OS
10,Andrew Adkins,Blockchain Technologies;OS;Compiler Design;IOT;Microprocessors
11,Shaun West,Microprocessors;Data Visualization;Discrete Maths;DSA;Fundamentals EEE
12,Nicolas Nguyen,Blockchain Technologies
13,Samantha Walker,OOPS
14,Angie Hutchinson,OOPS;Fundamentals EEE;Computer Networks;Cloud Computing
15,Sarah Gallagher,Java Programming;Computer Networks;IOT;Blockchain Technologies;Programming Paradigms;DBMS
16,Paul Henson,Computer Networks;Discrete Maths;Programming Paradigms;DBMS;Compiler Design;Microprocessors
17,Vanessa Wilson,Advanced C;Java Programming;Microprocessors;Programming Paradigms;OOPS
18,Crystal Evans,Discrete Maths
19,Joy Bauer,Compiler Design;Java Programming;Cloud Computing
20,Isabella Bruce,Cloud Computing;Java Programming;IOT;Discrete Maths;Advanced C;Blockchain Technologies
21,Jennifer Lawson,Data Visualization;Discrete Maths
22,Kristen Frye,OS;OOPS;Fundamentals EEE;Data Visualization;IOT;Java Programming;Advanced C
23,Benjamin King,Compiler Design;OS;Computer Networks;Advanced C;Data Visualization;DBMS
24,Veronica Watson,Data Visualization;Advanced C;Programming Paradigms;Microprocessors;OOPS;Compiler Design;OS
25,Jessica Myers,DBMS;Cloud Computing;Microprocessors
26,Erin Hall,OS;Compiler Design;Discrete Maths;Java Programming
27,Tammy Matthews,OS;DSA;Advanced C
28,Ryan Burton,Data Visualization;IOT;Advanced C;Cloud Computing
29,Ian Herman,Blockchain Technologies;Data Visualization;Compiler Design;OS;DBMS;Discrete Maths;Fundamentals EEE
30,Eric Tyler,Microprocessors;Data Visualization;Blockchain Technologies;OS;Compiler Design;Discrete Maths
31,Alice Hendricks,IOT;DBMS;DSA
32,Jacqueline Walker,Blockchain Technologies;Compiler Design;Data Visualization;Microprocessors;Discrete Maths;Advanced C
33,Stephanie Davis,Data Visualization;Compiler Design;Discrete Maths;OS;Cloud Computing;Programming Paradigms
